name,Pres01,Pres02,Pres03,Pres04,Pres05,Pres06,Pres07,Deg01,Deg02,Deg03,Deg04,Deg05,Deg06,Deg07
Rivularia,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.00061,0.00087,0.0,0.00119
Robbsia,0.01043,0.00397,0.00445,0.0135,0.0014,0.00581,0.00804,0.00622,0.01448,0.00371,0.00908,0.00607,0.01005,0.00596
Robiginitalea,0.0,0.0,0.00297,0.00225,0.0014,0.00097,0.0,0.00249,0.00579,0.0,0.00061,0.00043,0.00112,0.00119
Rodentibacter,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.00124,0.0,0.00371,0.00242,0.0,0.00335,0.00238
Romboutsia,0.0,0.00265,0.0,0.0015,0.0,0.0,0.0,0.00497,0.00869,0.0,0.00303,0.07152,0.00112,0.0
Roseateles,0.75069,0.69543,0.49377,1.04536,0.43922,0.31077,0.16892,0.75482,1.03379,1.17547,2.07576,0.89632,0.77748,0.97416
Roseburia,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.00371,0.00061,0.01257,0.00112,0.00119
Roseibacterium,0.00209,0.00397,0.00148,0.00525,0.00421,0.0029,0.0,0.00373,0.01448,0.00371,0.01332,0.01604,0.0067,0.00954
Roseibium,0.06881,0.08345,0.09638,0.07049,0.10805,0.07939,0.08044,0.06715,0.05212,0.05748,0.04965,0.04724,0.06591,0.08704
Roseicitreum,0.00417,0.00132,0.01038,0.0135,0.00561,0.00775,0.00804,0.00373,0.00579,0.00185,0.0109,0.02687,0.00894,0.00596
Roseiflexus,0.01043,0.0159,0.02076,0.01125,0.01263,0.00871,0.02815,0.0087,0.01158,0.00927,0.00666,0.00433,0.0067,0.01431
Roseimaritima,0.00417,0.00795,0.01038,0.006,0.00281,0.00968,0.00804,0.00497,0.01737,0.00556,0.00848,0.00087,0.01005,0.01073
Roseimicrobium,0.01668,0.00927,0.01928,0.02025,0.00982,0.00871,0.00402,0.00995,0.02606,0.01298,0.01029,0.00997,0.00559,0.02504
Roseinatronobacter,0.00417,0.00265,0.00148,0.00375,0.00281,0.00581,0.00402,0.00124,0.00579,0.00185,0.00666,0.01474,0.00335,0.00477
Roseitalea,0.0417,0.02782,0.02224,0.0195,0.03508,0.01936,0.02011,0.02363,0.02027,0.02039,0.01574,0.01647,0.01676,0.02862
Roseivirga,0.0,0.00132,0.0,0.00075,0.0,0.00097,0.00402,0.0,0.0,0.00185,0.0,0.00087,0.0,0.00238
Roseivivax,0.0146,0.03444,0.03707,0.02025,0.02666,0.03292,0.04424,0.01368,0.02606,0.02039,0.04178,0.05114,0.01452,0.03458
Rosenblumvirus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029,0.0,0.0,0.00043,0.0,0.0
Roseobacter,0.01251,0.01325,0.01928,0.021,0.01263,0.01549,0.01609,0.0087,0.00579,0.00742,0.01453,0.02731,0.01005,0.02027
Roseococcus,0.0146,0.01722,0.02521,0.036,0.01684,0.01839,0.00804,0.01492,0.02606,0.00742,0.01029,0.05288,0.02011,0.02623
Roseomonas,0.13971,0.16028,0.14531,0.21522,0.14173,0.12392,0.12468,0.15668,0.15927,0.15203,0.09689,0.61373,0.13628,0.14785
Roseovarius,0.08132,0.05961,0.09045,0.09224,0.06174,0.05809,0.07642,0.08332,0.0666,0.06118,0.13443,0.20804,0.06032,0.09897
